         341544 function calls (334336 primitive calls) in 17.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      167    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1155(p_xxx_declarator_2)
      158    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:264(__init__)
        1    0.000    0.000    0.074    0.074 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:369(parse)
       91    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1020(p_struct_declaration_1)
        1    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\soniox\speech_service_pb2_grpc.py:11(__init__)
      255    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:249(_type_modify_decl)
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      994    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:1978(read_table)
       26    0.000    0.000    0.011    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:944(parse)
      180    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      209    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\threading.py:264(__enter__)
  167/135    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:74(__eq__)
       26    0.000    0.000    0.016    0.001 C:\Users\zas47\anaconda3\lib\sre_compile.py:783(compile)
      844    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      173    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:821(p_declaration_specifiers_5)
      259    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_ast.py:400(__init__)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
