         364125 function calls (356761 primitive calls) in 13.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      139    0.000    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\genericpath.py:27(isfile)
     29/3    0.000    0.000    0.106    0.035 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      179    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:3140(<lambda>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       14    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
      324    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        5    0.000    0.000    0.018    0.004 C:\Users\zas47\anaconda3\lib\subprocess.py:758(__init__)
     27/3    0.000    0.000    0.105    0.035 <frozen importlib._bootstrap>:664(_load_unlocked)
       76    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:435(_mk_bitmap)
       32    0.000    0.000    0.012    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:944(parse)
      570    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:82(groups)
        4    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\urllib\request.py:2487(getproxies_environment)
        2    0.000    0.000    0.229    0.114 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\connection.py:356(connect)
      925    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      112    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\weakref.py:165(__setitem__)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      797    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      179    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\inspect.py:850(getmodule)
        5    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\json\encoder.py:204(iterencode)
      151    0.000    0.000    0.000    0.000 {method '_release_save' of '_thread.RLock' objects}
       18    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\threading.py:236(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
      253    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:97(closegroup)
        5    0.000    0.000    0.018    0.004 C:\Users\zas47\anaconda3\lib\subprocess.py:1354(_execute_child)
      137    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\typing.py:986(__setattr__)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:581(_module_repr_from_spec)
      317    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       60    0.000    0.000    0.013    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:723(<listcomp>)
       25    0.000    0.000    6.493    0.260 C:\Users\zas47\anaconda3\lib\site-packages\soniox\transcribe_live.py:18(transcribe_capture)
       28    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      158    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      112    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\enum.py:359(__call__)
      105    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:296(_class_escape)
       74    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:170(_event_handler)
      188    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       24    0.000    0.000    0.002    0.000 D:\GitHub Repos\salespro\run copy.py:110(render_non_final_words)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       65    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\lex.py:263(begin)
        2    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_simple_stubs.py:72(ChannelCache)
       12    0.000    0.000    0.000    0.000 {method 'new' of '_cffi_backend.FFI' objects}
       56    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\os.py:675(__getitem__)
      408    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       13    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.074    0.074 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:369(parse)
        1    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\ssl.py:1331(_real_close)
       79    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
